Phylum	No. genomes	Avg. single copy	No. genes >50% single copy	No. genes >=95.0% single copy	PF00380.20	PF00410.20	PF00466.21	TIGR00006	TIGR00019	TIGR00020	TIGR00029	TIGR00043	TIGR00054	TIGR00059	TIGR00061	TIGR00064	TIGR00082	TIGR00084	TIGR00086	TIGR00088	TIGR00092	TIGR00116	TIGR00158	TIGR00166	TIGR00168	TIGR00194	TIGR00250	TIGR00337	TIGR00344	TIGR00362	TIGR00392	TIGR00396	TIGR00398	TIGR00414	TIGR00420	TIGR00431	TIGR00435	TIGR00442	TIGR00460	TIGR00468	TIGR00472	TIGR00487	TIGR00496	TIGR00593	TIGR00615	TIGR00631	TIGR00635	TIGR00755	TIGR00810	TIGR00922	TIGR00959	TIGR00963	TIGR00964	TIGR00967	TIGR01009	TIGR01011	TIGR01017	TIGR01021	TIGR01029	TIGR01032	TIGR01044	TIGR01059	TIGR01063	TIGR01066	TIGR01071	TIGR01079	TIGR01087	TIGR01164	TIGR01169	TIGR01171	TIGR01393	TIGR01632	TIGR01951	TIGR01953	TIGR02012	TIGR02013	TIGR02027	TIGR02075	TIGR02191	TIGR02386	TIGR02397	TIGR02729	TIGR03263	TIGR03594	TIGR03625	TIGR03632	TIGR03654	TIGR03723	TIGR03953
p__Fusobacteriota	67	97.03	83	78	100.00	100.00	100.00	100.00	98.51	100.00	100.00	100.00	98.51	98.51	100.00	100.00	100.00	100.00	100.00	95.52	100.00	100.00	100.00	98.51	100.00	100.00	100.00	64.18	100.00	43.28	92.54	100.00	98.51	100.00	14.93	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	95.52	89.55	100.00	98.51	92.54	100.00	100.00	97.01	100.00	100.00	97.01	100.00	100.00	98.51	100.00	100.00	100.00	98.51	100.00	98.51	100.00	100.00	100.00	100.00	95.52	100.00	88.06	98.51	100.00	100.00	100.00	100.00	98.51	98.51	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__GCA-001730085	1	95.29	81	81	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Gemmatimonadota	26	94.71	83	60	100.00	92.31	96.15	100.00	100.00	100.00	100.00	100.00	100.00	96.15	100.00	96.15	92.31	100.00	100.00	100.00	96.15	100.00	100.00	100.00	80.77	100.00	92.31	100.00	100.00	30.77	92.31	100.00	100.00	100.00	100.00	96.15	96.15	100.00	96.15	100.00	100.00	92.31	100.00	100.00	100.00	100.00	100.00	100.00	100.00	92.31	100.00	92.31	92.31	96.15	92.31	100.00	84.62	92.31	96.15	100.00	92.31	88.46	76.92	100.00	96.15	96.15	100.00	92.31	96.15	92.31	100.00	92.31	100.00	92.31	100.00	92.31	96.15	100.00	0.00	88.46	100.00	100.00	100.00	96.15	92.31	96.15	96.15	100.00	92.31
p__Goldbacteria	3	98.04	85	80	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Hydrogenedentota	13	95.66	84	51	100.00	92.31	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	92.31	92.31	100.00	100.00	100.00	100.00	100.00	92.31	92.31	76.92	100.00	15.38	92.31	92.31	100.00	100.00	92.31	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	92.31	92.31	92.31	100.00	100.00	100.00	100.00	92.31	92.31	92.31	100.00	92.31	100.00	100.00	100.00	100.00	100.00	92.31	84.62	92.31	100.00	92.31	92.31	100.00	92.31	92.31	92.31	92.31	100.00	100.00	100.00	92.31	100.00	100.00	100.00	100.00	92.31	100.00	100.00	92.31	84.62	92.31	100.00	92.31	92.31	92.31
p__JACIXR01	2	97.65	83	83	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__KSB1	8	96.47	84	71	100.00	100.00	100.00	100.00	87.50	100.00	100.00	87.50	62.50	100.00	100.00	87.50	100.00	100.00	100.00	100.00	75.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	87.50	100.00	87.50	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	75.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	12.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Krumholzibacteriota	3	99.61	85	84	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	66.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Lindowbacteria	1	98.82	84	84	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
p__Margulisbacteria	8	92.94	81	60	100.00	87.50	100.00	100.00	100.00	100.00	87.50	100.00	100.00	100.00	100.00	0.00	100.00	100.00	100.00	100.00	62.50	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	100.00	0.00	100.00	100.00	100.00	87.50	100.00	100.00	87.50	87.50	100.00	87.50	87.50	75.00	100.00	87.50	87.50	87.50	87.50	100.00	87.50	87.50	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	87.50	50.00	100.00	50.00	100.00	100.00	87.50	100.00	87.50
